ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
1232.0,29397,1699588207,1699588212,3,17,1232.2,1232.65,127,95079,99438,1234.18,1231.2,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,15.55,1.2783
2564.8,11500,1699588210,1699588213,20,14,2563.45,2564.8,10,40555,47349,2565.91,2556.95,2573.75,0,0,2572.0,2585.55,sf,NSE:INDIGO-EQ,-20.75,-0.8025
600.4,129971,1699588206,1699588214,33,100,600.2,600.4,10,199814,256562,598.63,596.1,600.5,0,0,598.9,592.45,sf,NSE:DLF-EQ,7.95,1.3419
1483.0,412235,1699588214,1699588215,533,1606,1482.65,1483.0,1,350579,411847,1482.07,1480.05,1485.0,0,0,1480.1,1487.25,sf,NSE:HDFCBANK-EQ,-4.25,-0.2858
193.0,432114,1699588210,1699588215,721,1194,192.9,193.0,8,879324,1345211,192.5,191.75,193.05,0,0,192.5,191.25,sf,NSE:BANKBARODA-EQ,1.75,0.915
1923.0,4415,1699588214,1699588215,20,101,1922.1,1923.4,10,45250,59709,1926.82,1921.2,1934.05,0,0,1930.05,1921.55,sf,NSE:GRASIM-EQ,1.45,0.0755
1010.95,94698,1699588215,1699588215,33,82,1010.4,1011.25,1,46514,101486,1006.83,993.7,1014.25,0,0,1003.8,991.2,sf,NSE:VBL-EQ,19.75,1.9925
123.95,201678,1699588209,1699588215,2211,1180,123.9,123.95,321,864721,1314836,123.61,123.2,124.0,0,0,123.9,125.05,sf,NSE:GAIL-EQ,-1.1,-0.8796
1358.95,3781,1699588211,1699588216,4,55,1358.0,1358.95,12,54982,47297,1356.68,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-20.65,-1.4968
1923.35,4415,1699588214,1699588216,20,101,1922.1,1923.4,16,45250,59709,1926.82,1921.2,1934.05,0,0,1930.05,1921.55,sf,NSE:GRASIM-EQ,1.8,0.0937
122.0,3766958,1699588216,1699588216,533,99,121.95,122.0,914,1270581,4380536,122.49,121.85,123.3,0,0,122.0,121.3,sf,NSE:ZOMATO-EQ,0.7,0.5771
1010.4,94916,1699588215,1699588216,71,34,1010.1,1011.15,2,48253,102071,1006.84,993.7,1014.25,0,0,1003.8,991.2,sf,NSE:VBL-EQ,19.2,1.937
2064.45,190319,1699588216,1699588216,92,30,2063.9,2064.0,6,56181,127475,2053.8,2030.8,2064.95,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,47.3,2.3449
749.75,63923,1699588207,1699588216,128,10,749.25,749.7,50,131511,130712,748.31,745.05,751.9,0,0,751.9,748.6,sf,NSE:JSWSTEEL-EQ,1.15,0.1536
2064.0,190319,1699588216,1699588217,92,30,2063.9,2064.0,15,56181,127475,2053.8,2030.8,2064.95,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,46.85,2.3226
122.0,3767026,1699588216,1699588217,1209,245,121.95,122.0,50,1271387,4379592,122.49,121.85,123.3,0,0,122.0,121.3,sf,NSE:ZOMATO-EQ,0.7,0.5771
482.6,116203,1699588217,1699588217,40,249,482.6,482.8,48,237042,294240,481.99,480.3,483.45,0,0,482.05,484.55,sf,NSE:HINDALCO-EQ,-1.95,-0.4024
749.75,64181,1699588216,1699588217,28,60,749.6,749.75,50,134692,131747,748.32,745.05,751.9,0,0,751.9,748.6,sf,NSE:JSWSTEEL-EQ,1.15,0.1536
1482.75,412693,1699588217,1699588218,211,1267,1482.75,1483.0,100,350724,415576,1482.07,1480.05,1485.0,0,0,1480.1,1487.25,sf,NSE:HDFCBANK-EQ,-4.5,-0.3026
123.9,201678,1699588209,1699588218,2211,1180,123.9,123.95,560,864721,1314836,123.61,123.2,124.0,0,0,123.9,125.05,sf,NSE:GAIL-EQ,-1.15,-0.9196
1923.55,4432,1699588216,1699588218,10,25,1922.4,1923.35,1,48039,60060,1926.8,1921.2,1934.05,0,0,1930.05,1921.55,sf,NSE:GRASIM-EQ,2.0,0.1041
751.25,29672,1699588209,1699588218,72,71,751.65,751.95,1,119710,132732,750.6,749.15,752.0,0,0,750.25,753.25,sf,NSE:SBICARD-EQ,-2.0,-0.2655
192.95,434491,1699588215,1699588218,3239,714,192.9,193.0,20,882815,1345060,192.5,191.75,193.05,0,0,192.5,191.25,sf,NSE:BANKBARODA-EQ,1.7,0.8889
749.75,64181,1699588216,1699588218,28,60,749.6,749.75,50,134692,131747,748.32,745.05,751.9,0,0,751.9,748.6,sf,NSE:JSWSTEEL-EQ,1.15,0.1536
122.05,3770501,1699588218,1699588219,4170,69,121.95,122.0,100,1274977,4380540,122.49,121.85,123.3,0,0,122.0,121.3,sf,NSE:ZOMATO-EQ,0.75,0.6183
1010.25,95860,1699588218,1699588219,1,94,1010.1,1010.95,70,48219,102443,1006.88,993.7,1014.25,0,0,1003.8,991.2,sf,NSE:VBL-EQ,19.05,1.9219
1482.75,412962,1699588219,1699588220,521,1530,1482.75,1483.0,5,349572,414810,1482.07,1480.05,1485.0,0,0,1480.1,1487.25,sf,NSE:HDFCBANK-EQ,-4.5,-0.3026
193.0,434491,1699588215,1699588220,3239,714,192.9,193.0,29,882815,1345060,192.5,191.75,193.05,0,0,192.5,191.25,sf,NSE:BANKBARODA-EQ,1.75,0.915
1009.55,96130,1699588220,1699588220,40,381,1009.55,1010.0,29,48390,101061,1006.89,993.7,1014.25,0,0,1003.8,991.2,sf,NSE:VBL-EQ,18.35,1.8513
2563.2,11500,1699588210,1699588220,20,14,2563.45,2564.8,1,40461,47390,2565.91,2556.95,2573.75,0,0,2572.0,2585.55,sf,NSE:INDIGO-EQ,-22.35,-0.8644
