ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
1575.15,52696,1699502525,1699502533,57,5,1575.25,1575.7,3,106588,136298,1574.2,1569.0,1579.1,0,0,1575.0,1569.8,sf,NSE:BAJAJFINSV-EQ,5.35,0.3408
392.8,792909,1699502528,1699502534,1524,3,392.75,392.85,549,311537,1106983,393.17,390.55,395.85,0,0,395.1,383.8,sf,NSE:ADANIPOWER-EQ,9.0,2.345
270.5,254595,1699502522,1699502532,137,15,270.3,270.45,85,414002,350163,268.83,266.0,270.7,0,0,267.05,263.95,sf,NSE:M&MFIN-EQ,6.55,2.4815
2140.5,16355,1699502526,1699502532,230,5,2140.25,2141.2,26,39720,46082,2140.82,2136.75,2149.0,0,0,2137.65,2116.8,sf,NSE:COLPAL-EQ,23.7,1.1196
414.05,68857,1699502524,1699502531,33,58,414.0,414.2,88,221904,229420,414.26,412.4,418.85,0,0,418.85,417.55,sf,NSE:GUJGASLTD-EQ,-3.5,-0.8382
104.25,1893911,1699502527,1699502532,1178,3004,104.2,104.25,10,712277,2601658,103.98,103.5,104.45,0,0,104.3,104.85,sf,NSE:UNIONBANK-EQ,-0.6,-0.5722
124.25,373749,1699502530,1699502533,1290,295,124.25,124.3,24,1192331,1846102,124.48,124.15,125.0,0,0,125.0,125.05,sf,NSE:GAIL-EQ,-0.8,-0.6397
388.2,208473,1699502528,1699502532,31,51,388.2,388.35,9,105558,368736,388.28,386.5,389.4,0,0,386.6,386.2,sf,NSE:JSWENERGY-EQ,2.0,0.5179
1493.5,95570,1699502532,1699502534,17,331,1493.45,1493.5,12,149387,204539,1490.01,1484.85,1494.95,0,0,1488.95,1486.4,sf,NSE:INDUSINDBK-EQ,7.1,0.4777
104.9,1222944,1699502531,1699502534,4317,100,104.9,104.95,40,581248,1885859,104.57,103.9,105.1,0,0,104.3,103.2,sf,NSE:BANKINDIA-EQ,1.7,1.6473
321.1,1388318,1699502534,1699502534,62,561,321.1,321.15,44,718314,856892,319.81,316.8,321.3,0,0,318.45,314.25,sf,NSE:COALINDIA-EQ,6.85,2.1798
315.15,2177756,1699502534,1699502534,149,1596,315.15,315.3,2,779339,803897,313.55,310.8,315.4,0,0,311.0,308.45,sf,NSE:RECLTD-EQ,6.7,2.1722
