,Index,date,time,segment,symbol,type,qty,trade_price,trade_val,order_id
0,441,01/09/2023,11:33 AM,NSE_CASH,BERGEPAINT,BUY,11.0,714.8,7862.8,1000000005825841
1,437,01/09/2023,09:40 AM,NSE_CASH,BERGEPAINT,SELL,11.0,715.0,7865.0,1000000004835270
2,442,01/09/2023,10:25 AM,NSE_CASH,CHOLAFIN,BUY,3.0,1124.85,3374.55,1000000010210872
3,439,01/09/2023,12:30 PM,NSE_CASH,CHOLAFIN,SELL,3.0,1128.15,3384.45,1000000010232031
22,266,03/10/2023,09:24 AM,NSE_CASH,BPCL,BUY,12.0,348.15,4177.8,1000000001982826
23,257,03/10/2023,10:48 AM,NSE_CASH,BPCL,SELL,12.0,346.2,4154.4,1000000002149335
20,265,03/10/2023,09:30 AM,NSE_CASH,GODREJCP,BUY,3.0,1000.0,3000.0,1100000003487602
21,256,03/10/2023,11:37 AM,NSE_CASH,GODREJCP,SELL,3.0,994.4,2983.2,1100000003699717
16,262,03/10/2023,09:32 AM,NSE_CASH,PAYTM,BUY,1.0,862.0,862.0,1200000004364289
17,263,03/10/2023,09:32 AM,NSE_CASH,PAYTM,SELL,1.0,873.5,873.5,1200000004364303
10,258,03/10/2023,09:32 AM,NSE_CASH,PAYTM,BUY,2.0,862.0,1724.0,1200000004364289
11,259,03/10/2023,09:32 AM,NSE_CASH,PAYTM,SELL,2.0,873.5,1747.0,1200000004364307
12,260,03/10/2023,09:32 AM,NSE_CASH,PAYTM,SELL,2.0,873.5,1747.0,1200000004364305
13,261,03/10/2023,09:32 AM,NSE_CASH,PAYTM,BUY,2.0,862.0,1724.0,1200000004364289
8,255,03/10/2023,01:02 PM,NSE_CASH,SONACOMS,BUY,5.0,581.65,2908.25,1300000002431850
9,253,03/10/2023,09:24 AM,NSE_CASH,SONACOMS,SELL,5.0,580.0,2900.0,1300000002322703
18,264,03/10/2023,09:32 AM,NSE_CASH,VOLTAS,BUY,3.0,870.2,2610.6,1300000003756283
19,254,03/10/2023,02:06 PM,NSE_CASH,VOLTAS,SELL,3.0,873.85,2621.55,1300000003971442
48,107,03/11/2023,09:20 AM,NSE_CASH,ASIANPAINT,BUY,4.0,2956.2,11824.8,1000000001191565
49,98,03/11/2023,03:15 PM,NSE_CASH,ASIANPAINT,SELL,4.0,2977.0,11908.0,1000000001191582
40,94,03/11/2023,09:20 AM,NSE_CASH,DLF,BUY,10.0,582.0,5820.0,1100000001331766
41,105,03/11/2023,09:25 AM,NSE_CASH,DLF,SELL,10.0,599.65,5996.5,1100000002303368
42,96,03/11/2023,03:15 PM,NSE_CASH,SBILIFE,BUY,1.0,1330.0,1330.0,1300000001420243
43,95,03/11/2023,09:20 AM,NSE_CASH,SBILIFE,SELL,1.0,1342.05,1342.05,1300000001420216
44,97,03/11/2023,03:15 PM,NSE_CASH,SBILIFE,BUY,6.0,1330.0,7980.0,1300000001420245
45,102,03/11/2023,09:20 AM,NSE_CASH,SBILIFE,SELL,6.0,1341.8,8050.8,1300000001420216
46,106,03/11/2023,09:22 AM,NSE_CASH,TVSMOTOR,BUY,6.0,1574.5,9447.0,1300000001939587
47,99,03/11/2023,02:42 PM,NSE_CASH,TVSMOTOR,SELL,6.0,1593.1,9558.6,1300000002281090
53,109,03/11/2023,09:20 AM,NSE_CASH,UBL,BUY,1.0,1619.35,1619.35,1300000001444324
54,101,03/11/2023,12:00 PM,NSE_CASH,UBL,SELL,1.0,1607.95,1607.95,1300000001897949
55,104,03/11/2023,12:00 PM,NSE_CASH,UBL,SELL,1.0,1608.55,1608.55,1300000001896262
56,110,03/11/2023,09:20 AM,NSE_CASH,UBL,BUY,1.0,1619.35,1619.35,1300000001444324
50,108,03/11/2023,09:20 AM,NSE_CASH,UBL,BUY,2.0,1619.35,3238.7,1300000001444324
51,100,03/11/2023,12:00 PM,NSE_CASH,UBL,SELL,2.0,1608.55,3217.1,1300000001703034
52,103,03/11/2023,12:00 PM,NSE_CASH,UBL,SELL,2.0,1608.55,3217.1,1300000001790786
59,111,03/11/2023,09:20 AM,NSE_CASH,UBL,BUY,2.0,1619.35,3238.7,1300000001444324
84,433,04/09/2023,01:23 PM,NSE_CASH,BERGEPAINT,BUY,2.0,706.6,1413.2,1000000013799157
